Type_of_Coarse_Aggregate,Type_of_Fine_Aggregate,Max_Size_of_Coarse_Aggregate(mm),Passing_0.6_mm_sieve(%),Target_Mean_Strength(MPa),Cement_O.P.C.(kg/m3),W/C_Ratio,Water_Content(kg/m3),Total_Aggregate(kg/m3),Fine_Aggregate(kg/m3),Coarse_Aggregate(kg/m3),Workability_Slump(mm),Hardened_Concrete_Density_(avg.),7_day_str(MPa),28_day_str(MPa),Admix_1,Admix_2,Dos_1(lit),Dos_2(lit),,
Crushed,Natural,20,51.8,38,365,0.53,210,1865,745,1120,120,2430,26.5,38,NA,NA,0,0,,
Crushed,Natural,20,51.8,38,365,0.53,210,1865,745,1120,120,2431,26.5,0,NA,NA,0,0,,
Natural,Natural,40,56.7,38,250,0.5,175,1875,750,1125,130,2404,27.8,0,NA,NA,0,0,,
Natural,Natural,40,50,38,340,0.5,170,1890,665,1125,190,2408,32.4,0,SP,NA,1,0,,
Natural,Natural,40,56.3,38,350,0.5,175,1875,750,1125,130,2405,27.8,37.1,NA,NA,0,0,,
Natural,Natural,40,56.3,38,350,0.5,175,1875,750,1125,130,2404,27.8,0,NA,NA,0,0,,
Natural,Natural,40,30,38,350,0.5,175,1875,750,1125,210,2404,27.5,0,JY,NA,1.25,0,,
Natural,Natural,40,30,38,350,0.5,175,1875,750,1125,210,2405,27.5,36.1,JY,NA,1.25,0,,
Natural,Natural,40,15.9,38,350,0.5,175,1875,750,1125,150,2405,24.1,33.5,NA,NA,0,0,,
Natural,Natural,40,15.9,38,350,0.5,175,1875,750,1125,150,2402,24.1,0,NA,NA,0,0,,
Crushed,Natural,20,43,48,400,0.46,185,1875,750,1125,150,2460,37.4,41.9,EU,NA,1,0,,
Crushed,Natural,20,45.8,38,350,0.54,190,1910,780,1130,100,2404,20.5,29.7,NA,NA,0,0,,
Natural,Natural,20,45.8,38,350,0.54,190,1910,780,1130,100,2403,20.5,29.7,NA,NA,0,0,,
Crushed,Natural,20,45.8,38,350,0.54,190,1910,780,1130,100,2456,20.5,0,NA,NA,0,0,,
Natural,Natural,20,39,38,350,0.49,170,1880,750,1130,150,2406,33.9,41.8,NA,NA,0,0,,
Natural,Natural,20,39,38,350,0.49,170,1880,750,1130,150,2402,33.9,0,RE,NA,1,0,,
Crushed,Natural,20,39.6,38,380,0.5,190,1880,750,1130,95,2453,31.5,0,NA,NA,0,0,,
Crushed,Natural,40,39.6,38,380,0.5,190,1880,750,1130,95,2453,31.5,40.6,NA,NA,0,0,,
